"Index","name","address","phone","rating","rating_numbers","website"
"1","向午粮品 手作料理/早午餐/咖哩飯/嘉義美食","600024嘉義市西區建成街20號","0979 570 668","4.6","18","https://www.facebook.com/%E5%90%91%E5%8D%88%E7%B2%AE%E5%93%81-110761128126965/"
"2","泰泰小姐","600嘉義市西區仁愛路105號","0967 130 005","4.7","206","https://www.facebook.com/%E6%B3%B0%E6%B3%B0%E5%B0%8F%E5%A7%90-1081551008681596/?ref=bookmarks"
"3","舊時光新鮮事-老屋咖哩專賣","600嘉義市西區仁愛路494號","05 216 9909","4.6","3055","https://www.facebook.com/NewInAges/"
"4","雙醬咖哩-友愛店","600嘉義市西區友愛路63號-3號","05 291 1566","3.9","15","https://www.facebook.com/%E9%9B%99%E9%86%AC%E5%92%96%E5%96%B1-%E5%98%89%E7%BE%A9%E5%8F%8B%E6%84%9B%E5%BA%97-102038435708435"
"5","鑫丼","600嘉義市西區文化路17-10號","05 225 0059","3.2","145","https://www.facebook.com/CD.0130"
"6","鮮味握壽司鍋燒麵","600嘉義市西區民生南路422號","05 283 8359","4.3","63","https://www.facebook.com/pages/%E9%AE%AE%E5%91%B3-%E6%8F%A1%E5%A3%BD%E5%8F%B8%E9%8D%8B%E7%87%92%E9%BA%B5/1081782141862563"
"7","好好+慢熟咖哩","600嘉義市西區民生南路69號","05 216 6966","4.9","93","https://www.facebook.com/profile.php?id=100075063952748"
"8","八谷 輕定食 豬排 咖哩","600嘉義市西區民族路621號","Nah","4.6","682","https://www.facebook.com/baggubaggu621/"
"9","盛食咖哩店-嘉義店","600嘉義市西區延平街443號","05 225 1132","4.5","703","https://www.facebook.com/chengshihcurry/"
"10","品田牧場 嘉義國華店","600嘉義市西區國華街212號","05 222 2721","4.7","2401","http://www.pinnada.com.tw/"
"11","金御咖哩","600嘉義市西區新榮路211號","05 227 2382","4.1","734","https://www.facebook.com/%E9%87%91%E5%BE%A1%E5%92%96%E5%93%A9%E7%BE%8E%E9%A3%9F%E5%BA%97-1339758269489413"
"12","饗咖哩鐵板","600嘉義市西區新榮路245號","05 216 8800","4.6","166","https://www.facebook.com/people/%E9%A5%97%E5%92%96%E5%93%A9%E9%90%B5%E6%9D%BF/100063765351603/"
"13","雙醬咖哩-嘉義店","600嘉義市西區新榮路349號","0989 230 001","4.0","70","https://www.nicenine99.com/"
"14","白梗咖哩","600嘉義市西區興業東路25號","0978 810 190","4.9","142","https://www.facebook.com/whiteterriercurry"
"15","初·仨食","600嘉義市西區蘭井街361號","0983 337 266","4.8","295","https://m.facebook.com/pages/category/Yoshoku-Restaurant/%E5%88%9D%E4%BB%A8%E9%A3%9F-409546889630890/"
"16","嘉義尚夯咖哩","600嘉義市東區台林街245號","05 278 6657","5.0","5","Nah"
"17","微笑咖哩-嘉義店","600嘉義市東區立仁路327號","05 225 5332","4.6","62","https://m.facebook.com/pages/category/Yoshoku-Restaurant/%E5%BE%AE%E7%AC%91%E5%92%96%E5%93%A9-%E5%98%89%E7%BE%A9%E5%BA%97-109213104568287/"
"18","大人味 日.印咖喱","600嘉義市東區成仁街94號","Nah","4.6","661","https://www.facebook.com/%E5%A4%A7%E4%BA%BA%E5%91%B3-%E6%97%A5%E5%8D%B0%E7%8F%88%E5%93%A9-173336086469276/"
"19","雙醬咖哩 日式咖哩飯 · 丼飯","600嘉義市東區吳鳳南路595號","05 239 5656","4.3","11","https://www.facebook.com/%E9%9B%99%E9%86%AC%E5%92%96%E5%93%A9%E5%98%89%E7%BE%A9%E5%90%B3%E9%B3%B3%E5%BA%97-100273775923067/"
"20","波迪ZAOKA（灶咖）","600嘉義市東區延平街156-2號","0979 008 566","4.6","27","https://www.facebook.com/bodidrink"
"21","歐陽媽媽咖哩飯","600嘉義市東區芳安路69號","0929093438","4.7","52","Nah"
"22","初和風精緻咖哩","600嘉義市東區長榮街194號","05 275 6096","4.0","615","https://www.facebook.com/%E5%88%9D-%E5%92%8C%E9%A2%A8%E7%B2%BE%E7%B7%BB%E5%92%96%E5%93%A9-122061471207047/"
"23","楓味屋日式咖哩、拉麵 嘉義美食&餐廳","600嘉義市東區軍輝路230號","05 230 0358","4.2","108","https://www.facebook.com/%E6%A5%93%E5%91%B3%E5%B1%8B%E6%8B%89%E9%BA%B5-420061258397187"
"24","醬。咖哩","600嘉義市東區博東路200巷58號","05 234 5677","4.6","48","Nah"
"25","穀谷","600嘉義市東區興中街132號","0919 330 115","4.6","350","https://www.facebook.com/goodgoodlifestyle"
"26","愛麵Shop 鍋燒意麵咖哩飯專賣店","600嘉義市東區彌陀路242-1號","05 271 0095","4.4","70","https://www.facebook.com/Amys-Shop%E9%8D%8B%E7%87%92%E6%84%8F%E9%BA%B5%E5%B0%88%E8%B3%A3%E5%BA%97-2297669643782994/"
"27","雙醬咖哩-竹崎店","604嘉義縣竹崎鄉坪7鄰152號","05 261 7377","4.3","82","https://www.facebook.com/NicenineJhuci"
"28","倉賀野くらがの 日式食屋","61249嘉義縣太保市太保二路119號","05 362 7229","4.7","22","https://www.facebook.com/%E5%80%89%E8%B3%80%E9%87%8E%E3%81%8F%E3%82%89%E3%81%8C%E3%81%AE-%E6%97%A5%E5%BC%8F%E9%A3%9F%E5%B1%8B-100371542384081"
"29","海山食堂","612嘉義縣太保市祥和一路東段25巷40號","05 362 2902","3.6","14","Nah"
"30","緩。食 ゆっくり","613嘉義縣朴子市祥和一路西段45號","05 362 2080","4.7","68","https://www.facebook.com/%E7%B7%A9%E9%A3%9F-%E3%82%86%E3%81%A3%E3%81%8F%E3%82%8A-102281714548643"
"31","吉庭家咖哩屋","613嘉義縣朴子市開元路第一市場25號","0983 146 928","4.3","23","https://m.facebook.com/%E5%90%89%E5%BA%AD%E5%AE%B6%E5%92%96%E5%93%A9%E5%B1%8B-791650030857515/?ref=bookmarks"
"32","金御咖哩民雄店 北欧瑞典咖哩","621嘉義縣民雄鄉文化路75號","05 226 2738","4.0","334","https://w.tw.mawebcenters.com/jinyucurry/"
"33","純·咖哩","621嘉義縣民雄鄉建國路二段73號","05 226 0100","4.5","97","https://www.facebook.com/%E7%B4%94-%E5%92%96%E5%93%A9-600936043659047"
"34","Nice Nine 雙醬咖哩","621嘉義縣民雄鄉神農路147號","0985 562 131","3.8","32","Nah"
"35","丼飽處【丼飽處x味自慢】丼飯 手作揚物 日式咖哩飯 鍋燒烏龍麵","621嘉義縣民雄鄉神農路148-1號 621","05 272 3085","4.9","511","https://www.facebook.com/%E4%B8%BC%E9%A3%BD%E8%99%95x%E5%91%B3%E8%87%AA%E6%85%A2%E4%B8%BC%E9%A3%AF-%E6%89%8B%E4%BD%9C%E6%8F%9A%E7%89%A9-%E6%97%A5%E5%BC%8F%E5%92%96%E5%93%A9%E9%A3%AF-%E5%92%96%E5%93%A9%E6%8B%8C%E7%83%8F%E9%BE%8D-102527609087387"
"36","濟濟一堂 - 咖哩專賣","621嘉義縣民雄鄉復興路55號","0906 553 857","4.8","543","https://www.facebook.com/%E6%BF%9F%E6%BF%9F%E4%B8%80%E5%A0%82-114300060495245/"
"37","嘉義火雞肉飯 咖哩飯","621嘉義縣民雄鄉復興路56號","05 226 6749","3.8","108","Nah"
"38","懶的丼大林店","622嘉義縣大林鎮中興路19號","0988 041 508","4.1","276","https://www.facebook.com/%E6%87%B6%E7%9A%84%E4%B8%BC-%E5%98%89%E7%BE%A9%E5%A4%A7%E6%9E%97%E5%BA%97-914337031937137"
